Feature,Train Accuracy,Train Precision,Train Recall,Train F1,Test Accuracy,Test Precision,Test Recall,Test F1
MFCC,0.936046511627907,0.9367049114939209,0.936046511627907,0.9358628401334774,0.7864693446088795,0.78530545346386,0.7864693446088795,0.7836146352526345
STFT,0.8863636363636364,0.8893420766263702,0.8863636363636364,0.8870883250033778,0.773784355179704,0.7692282872498396,0.773784355179704,0.7680688385024653
CQT,0.8916490486257929,0.8929385514955381,0.8916490486257929,0.8921080854906603,0.7547568710359408,0.7509556189921913,0.7547568710359408,0.7486062806625062
